

Inverses and integers in base Phi
(1/1)base Phi   00000000010.000000000000000000000000000000000000000000000, diff = 0
(1/2)base Phi   00000000000.100100100100100100100100100100100100100100100, diff = 1.970273388884891e-10
(1/3)base Phi   00000000000.010100000101000001010000010100000101000001010, diff = 3.100786294396585e-11
(1/4)base Phi   00000000000.010000010000010000010000010000010000010000010, diff = 2.3255952719125617e-11
(1/5)base Phi   00000000000.001001010100100100000010010101001001000000100, diff = 2.3643273450169033e-10
(1/6)base Phi   00000000000.001000010101001010010000001000010101001010010, diff = 1.550395922755854e-11
(1/7)base Phi   00000000000.000101010100000000010101010000000001010101000, diff = 1.3289092049006967e-11
(1/8)base Phi   00000000000.000101000000000101000000000101000000000101000, diff = 1.1627962481775e-11
(1/9)base Phi   00000000000.000100010101010001000000000100010101010001000, diff = 1.033596819244309e-11
(1/10)base Phi  00000000000.000100001000101000010100010101010001001010000, diff = 1.1821633949526955e-10
(1/11)base Phi  00000000000.000100000000010000000001000000000100000000010, diff = 3.2302077679347008e-12
(1/12)base Phi  00000000000.000010100100100001000000000010100100100001000, diff = 7.751965735991462e-12
(1/13)base Phi  00000000000.000010010101010100100100000000001001010101010, diff = 1.1513588693556898e-10
(1/14)base Phi  00000000000.000010010001001001010101010010010100001001000, diff = 6.644546024503484e-12
(1/15)base Phi  00000000000.000010001001010001010001001000100100000000001, diff = 4.7803011549163443e-11
(1/16)base Phi  00000000000.000010000100101001000000000010000100101001000, diff = 5.813988179781404e-12
(1/17)base Phi  00000000000.000010000001010101010010101001000000000010000, diff = 9.271870077265376e-11
(1/18)base Phi  00000000000.000001010101010100000000000001010101010100000, diff = 5.167997974009353e-12
(1/19)base Phi  00000000000.000001010100000000000001010100000000000001010, diff = 1.507882430029639e-10
(1/20)base Phi  00000000000.000001010001001000001000100100100010001010010, diff = 1.8087768088870249e-10
(1/21)base Phi  00000000000.000001010000000000000101000000000000010100000, diff = 4.429706601527528e-12
(1/22)base Phi  00000000000.000001001001010010010100000000000001001001010, diff = 1.2338460114724725e-10
(1/23)base Phi  00000000000.000001001000010001010101010100001010010100000, diff = 4.04451472313383e-12
(1/24)base Phi  00000000000.000001000101000100000000000001000101000100000, diff = 3.875996745783539e-12
(1/25)base Phi  00000000000.000001000100001000100010100010000101000100010, diff = 2.421177563993737e-10
(1/26)base Phi  00000000000.000001000010010010000001001001010001010101010, diff = 1.793374476699583e-10
(1/27)base Phi  00000000000.000001000001001010010001010001010101010100010, diff = 1.658046755448339e-10
(1/28)base Phi  00000000000.000001000000100000100100100010100100000100000, diff = 3.3222799511456458e-12
(1/29)base Phi  00000000000.000001000000000000010000000000000100000000000, diff = 5.7560053945415746e-11
(1/30)base Phi  00000000000.000000101010010000100010001010000001001001010, diff = 7.04133210072122e-11
(1/31)base Phi  00000000000.000000101001010010000100000000000000101001010, diff = 1.0142087863984628e-10
(1/32)base Phi  00000000000.000000101000101010000100101000000010000100000, diff = 2.906994089890702e-12
(1/33)base Phi  00000000000.000000101000010001010000101000010000000000000, diff = 1.3242820035008762e-10
(1/34)base Phi  00000000000.000000100101010101010100100100000000000000100, diff = 2.433865574358318e-10
(1/35)base Phi  00000000000.000000100101000100010100100010001001000000100, diff = 1.1157179000131912e-10
(1/36)base Phi  00000000000.000000100100100100000000000000100100100100000, diff = 2.5839955175577245e-12
(1/37)base Phi  00000000000.000000100100001010100101001001010101010101001, diff = 8.48341570602873e-11
(1/38)base Phi  00000000000.000000100100000000000000100100000000000000100, diff = 1.5065182087936613e-10
(1/39)base Phi  00000000000.000000100010100000010101000001010010101000001, diff = 5.754254711609619e-11
(1/40)base Phi  00000000000.000000100010001001010001000101000100010010001, diff = 4.392703908950857e-11

integers
(1)base   Phi   00000000010.000000000000000000000000000000000000000000000, diff = 0
(2)base   Phi   00000000100.100000000000000000000000000000000000000000000, diff = 0
(3)base   Phi   00000001000.100000000000000000000000000000000000000000000, diff = 0
(4)base   Phi   00000001010.100000000000000000000000000000000000000000000, diff = 0
(5)base   Phi   00000010001.001000000000000000000000000000000000000000000, diff = 0
(6)base   Phi   00000010100.001000000000000000000000000000000000000000000, diff = 0
(7)base   Phi   00000100000.001000000000000000000000000000000000000000000, diff = 0
(8)base   Phi   00000100010.001000000000000000000000000000000000000000000, diff = 0
(9)base   Phi   00000100100.101000000000000000000000000000000000000000000, diff = 0
(10)base   Phi  00000101000.101000000000000000000000000000000000000000000, diff = 0
(11)base   Phi  00000101010.101000000000000000000000000000000000000000000, diff = 0
(12)base   Phi  00001000001.010010000000000000000000000000000000000000000, diff = 0
(13)base   Phi  00001000100.010010000000000000000000000000000000000000000, diff = 0
(14)base   Phi  00001001000.010010000000000000000000000000000000000000000, diff = 0
(15)base   Phi  00001001010.010010000000000000000000000000000000000000000, diff = 0
(16)base   Phi  00001010001.000010000000000000000000000000000000000000000, diff = 0
(17)base   Phi  00001010100.000010000000000000000000000000000000000000000, diff = 0
(18)base   Phi  00010000000.000010000000000000000000000000000000000000000, diff = 0
(19)base   Phi  00010000010.000010000000000000000000000000000000000000000, diff = 0
(20)base   Phi  00010000100.100010000000000000000000000000000000000000000, diff = 0
(21)base   Phi  00010001000.100010000000000000000000000000000000000000000, diff = 0
(22)base   Phi  00010001010.100010000000000000000000000000000000000000000, diff = 0
(23)base   Phi  00010010001.001010000000000000000000000000000000000000000, diff = 0
(24)base   Phi  00010010100.001001011000000000000000000000000000000000000, diff = 0
(25)base   Phi  00010100000.001001011000000000000000000000000000000000000, diff = 0
(26)base   Phi  00010100010.001001011000000000000000000000000000000000000, diff = 0
(27)base   Phi  00010100100.101001011000000000000000000000000000000000000, diff = 0
(28)base   Phi  00010101000.101001011000000000000000000000000000000000000, diff = 0
(29)base   Phi  00010101010.101001011000000000000000000000000000000000000, diff = 0
(30)base   Phi  00100000001.010100100000000000000000000000000000000000000, diff = 3.552713678800501e-15
(31)base   Phi  00100000100.010100100000000000000000000000000000000000000, diff = 3.552713678800501e-15
(32)base   Phi  00100001000.010100100000000000000000000000000000000000000, diff = 3.552713678800501e-15
(33)base   Phi  00100001010.010100100000000000000000000000000000000000000, diff = 7.105427357601002e-15
(34)base   Phi  00100010001.000100100000000000000000000000000000000000000, diff = 7.105427357601002e-15
(35)base   Phi  00100010100.000100100000000000000000000000000000000000000, diff = 7.105427357601002e-15
(36)base   Phi  00100100000.000100100000000000000000000000000000000000000, diff = 0
(37)base   Phi  00100100010.000100100000000000000000000000000000000000000, diff = 0
(38)base   Phi  00100100100.100100100000000000000000000000000000000000000, diff = 0
(39)base   Phi  00100101000.100100100000000000000000000000000000000000000, diff = 0
(40)base   Phi  00100101010.100100100000000000000000000000000000000000000, diff = 0
(41)base   Phi  00101000001.010000100000000000000000000000000000000000000, diff = 7.105427357601002e-15
(42)base   Phi  00101000100.010000100000000000000000000000000000000000000, diff = 7.105427357601002e-15
(43)base   Phi  00101001000.010000100000000000000000000000000000000000000, diff = 7.105427357601002e-15
(44)base   Phi  00101001010.010000100000000000000000000000000000000000000, diff = 7.105427357601002e-15
(45)base   Phi  00101010001.000000100000000000000000000000000000000000000, diff = 7.105427357601002e-15
(46)base   Phi  00101010100.000000100000000000000000000000000000000000000, diff = 7.105427357601002e-15
(47)base   Phi  01000000000.000000100000000000000000000000000000000000000, diff = 0
(48)base   Phi  01000000010.000000100000000000000000000000000000000000000, diff = 0
(49)base   Phi  01000000100.100000100000000000000000000000000000000000000, diff = 0
(50)base   Phi  01000001000.100000100000000000000000000000000000000000000, diff = 0
(51)base   Phi  01000001010.100000100000000000000000000000000000000000000, diff = 0
(52)base   Phi  01000010001.001000100000000000000000000000000000000000000, diff = 7.105427357601002e-15
(53)base   Phi  01000010100.001000100000000000000000000000000000000000000, diff = 7.105427357601002e-15
(54)base   Phi  01000100000.001000100000000000000000000000000000000000000, diff = 0
(55)base   Phi  01000100010.001000100000000000000000000000000000000000000, diff = 0
(56)base   Phi  01000100100.101000100000000000000000000000000000000000000, diff = 0
(57)base   Phi  01000101000.101000100000000000000000000000000000000000000, diff = 0
(58)base   Phi  01000101010.101000100000000000000000000000000000000000000, diff = 0
(59)base   Phi  01001000001.010010100000000000000000000000000000000000000, diff = 7.105427357601002e-15
(60)base   Phi  01001000100.010010100000000000000000000000000000000000000, diff = 7.105427357601002e-15
(61)base   Phi  01001001000.010010100000000000000000000000000000000000000, diff = 7.105427357601002e-15
(62)base   Phi  01001001010.010010100000000000000000000000000000000000000, diff = 7.105427357601002e-15
(63)base   Phi  01001010001.000010100000000000000000000000000000000000000, diff = 7.105427357601002e-15
(64)base   Phi  01001010100.000010100000000000000000000000000000000000000, diff = 7.105427357601002e-15
(65)base   Phi  01010000000.000010100000000000000000000000000000000000000, diff = 0
(66)base   Phi  01010000010.000010100000000000000000000000000000000000000, diff = 0
(67)base   Phi  01010000100.100010100000000000000000000000000000000000000, diff = 0
(68)base   Phi  01010001000.100010100000000000000000000000000000000000000, diff = 0
(69)base   Phi  01010001010.100010100000000000000000000000000000000000000, diff = 0
(70)base   Phi  01010010001.001010100000000000000000000000000000000000000, diff = 0
(71)base   Phi  01010010100.001010100000000000000000000000000000000000000, diff = 0
(72)base   Phi  01010100000.001010100000000000000000000000000000000000000, diff = 0
(73)base   Phi  01010100010.001010100000000000000000000000000000000000000, diff = 0
(74)base   Phi  01010100100.101010100000000000000000000000000000000000000, diff = 0
(75)base   Phi  01010101000.101010100000000000000000000000000000000000000, diff = 0
...
(115)base   Phi  10100101000.100100001000000000000000000000000000000000000, diff = 0
(116)base   Phi  10100101010.100100001000000000000000000000000000000000000, diff = 0
(117)base   Phi  10101000001.010000001000000000000000000000000000000000000, diff = 0
(118)base   Phi  10101000100.010000001000000000000000000000000000000000000, diff = 0
(119)base   Phi  10101001000.010000001000000000000000000000000000000000000, diff = 0
(120)base   Phi  10101001010.010000001000000000000000000000000000000000000, diff = 0
(121)base   Phi  10101010001.000000001000000000000000000000000000000000000, diff = 0
(122)base   Phi  10101010100.000000001000000000000000000000000000000000000, diff = 0
(123)base   Phi  11000000000.000000001000000000000000000000000000000000000, diff = 0
(124)base   Phi  11000000010.000000001000000000000000000000000000000000000, diff = 0
(125)base   Phi  11000000100.100000001000000000000000000000000000000000000, diff = 0
(126)base   Phi  11000001000.100000001000000000000000000000000000000000000, diff = 0
(127)base   Phi  11000001010.100000001000000000000000000000000000000000000, diff = 0
(128)base   Phi  11000010001.001000001000000000000000000000000000000000000, diff = 0
(129)base   Phi  11000010100.001000001000000000000000000000000000000000000, diff = 0
(130)base   Phi  11000100000.001000001000000000000000000000000000000000000, diff = 0
(131)base   Phi  11000100010.001000001000000000000000000000000000000000000, diff = 0
(132)base   Phi  11000100100.101000001000000000000000000000000000000000000, diff = 0
(133)base   Phi  11000101000.101000001000000000000000000000000000000000000, diff = 0
(134)base   Phi  11000101010.101000001000000000000000000000000000000000000, diff = 0
(135)base   Phi  11001000001.010010000101011000000000000000000000000000000, diff = 0
(136)base   Phi  11001000100.010010000101011000000000000000000000000000000, diff = 0
(137)base   Phi  11001001000.010010000101011000000000000000000000000000000, diff = 0
(138)base   Phi  11001001010.010010000101011000000000000000000000000000000, diff = 0
(139)base   Phi  11001010001.000010000101011000000000000000000000000000000, diff = 0
(140)base   Phi  11001010100.000010000101011000000000000000000000000000000, diff = 0
(141)base   Phi  11010000000.000010001000000000000000000000000000000000000, diff = 0
(142)base   Phi  11010000010.000010001000000000000000000000000000000000000, diff = 0
(143)base   Phi  11010000100.100010001000000000000000000000000000000000000, diff = 0
(144)base   Phi  11010001000.100010001000000000000000000000000000000000000, diff = 0
(145)base   Phi  11010001010.100010001000000000000000000000000000000000000, diff = 0
(146)base   Phi  11010010001.001010001000000000000000000000000000000000000, diff = 0
(147)base   Phi  11010010100.001010001000000000000000000000000000000000000, diff = 0
(148)base   Phi  11010100000.001010001000000000000000000000000000000000000, diff = 0
(149)base   Phi  11010100010.001010001000000000000000000000000000000000000, diff = 0
(150)base   Phi  11010100100.101010001000000000000000000000000000000000000, diff = 0
(151)base   Phi  11010101000.101010001000000000000000000000000000000000000, diff = 0
(152)base   Phi  11010101010.101010001000000000000000000000000000000000000, diff = 0
(153)base   Phi  !20000000001.010100101000000000000000000000000000000000000, diff = 0
(154)base   Phi  !20000000100.010100101000000000000000000000000000000000000, diff = 0
(155)base   Phi  !20000001000.010100101000000000000000000000000000000000000, diff = 0


Inverses and integers in base E
(1/1)base E   000010.00000000000000000000000000000000000, diff = 0
(1/2)base E   000001.02120020120202001202012120110120201, diff = 1.6653345369377348e-16
(1/3)base E   000000.21012102010201001010000021102120201, diff = 1.6653345369377348e-16
(1/4)base E   000000.12020120012102001001200001020121100, diff = 1.942890293094024e-16
(1/5)base E   000000.11020111012021002120211201202000010, diff = 0
(1/6)base E   000000.10112110111200111202020000212020002, diff = 8.326672684688674e-17
(1/7)base E   000000.10010020210210101100021010211002102, diff = 5.551115123125783e-17
(1/8)base E   000000.02110010020111000210101001112121020, diff = 1.3877787807814457e-17
(1/9)base E   000000.02011211020121000100121111001210120, diff = 1.3877787807814457e-16
(1/10)base E  000000.02000010121210021011001110002120012, diff = 4.163336342344337e-17
(1/11)base E  000000.01201201110101102110101021211001010, diff = 8.326672684688674e-17
(1/12)base E  000000.01120121100110001110102101111101210, diff = 1.5265566588595902e-16
(1/13)base E  000000.01110202001211002101000002112000000, diff = 4.163336342344337e-17
(1/14)base E  000000.01101021101011020201201002002121011, diff = 4.163336342344337e-17
(1/15)base E  000000.01021100002002111001000010112021200, diff = 5.551115123125783e-17
(1/16)base E  000000.01012100202100201112020100021001011, diff = 5.551115123125783e-17
(1/17)base E  000000.01010211002111112101212002120020001, diff = 5.551115123125783e-17
(1/18)base E  000000.01002021002121101010020200120200210, diff = 1.942890293094024e-16
(1/19)base E  000000.01001010012011110211021101000211101, diff = 1.1102230246251565e-16
(1/20)base E  000000.01000001121200010201021110010200201, diff = 1.5959455978986625e-16
(1/21)base E  000000.00211121110101112001201201000021120, diff = 2.0816681711721685e-16
(1/22)base E  000000.00210202002100112012110201112121000, diff = 8.326672684688674e-17
(1/23)base E  000000.00210000210012020110212000021010021, diff = 5.551115123125783e-17
(1/24)base E  000000.00202000112111020210202111011100200, diff = 6.245004513516506e-17
(1/25)base E  000000.00201021200201000111011001101200211, diff = 2.0816681711721685e-16
(1/26)base E  000000.00200200001001010021102002001102011, diff = 1.3877787807814457e-17
(1/27)base E  000000.00200010111021012120021000202000101, diff = 1.1102230246251565e-16
(1/28)base E  000000.00121111111201111020200002021100021, diff = 2.0816681711721685e-16
(1/29)base E  000000.00121001121120112111000010021120020, diff = 9.71445146547012e-17
(1/30)base E  000000.00120112100021210001010120020120002, diff = 9.020562075079397e-17
(1/31)base E  000000.00120011001012011212020210100212011, diff = 7.632783294297951e-17
(1/32)base E  000000.00112102120011210001012101101202110, diff = 1.3877787807814457e-17
(1/33)base E  000000.00112002021210121120102011211111211, diff = 1.7694179454963432e-16
(1/34)base E  000000.00111200101120112121100120011111110, diff = 2.185751579730777e-16
(1/35)base E  000000.00111101000112020201100210001001011, diff = 8.673617379884035e-17
(1/36)base E  000000.00111001212021210020102102010101010, diff = 4.5102810375396984e-17
(1/37)base E  000000.00110201011111001111002001101121202, diff = 1.1102230246251565e-16
(1/38)base E  000000.00110110002101000020020011200112010, diff = 6.938893903907228e-18
(1/39)base E  000000.00110012000202001120002112010202001, diff = 1.6653345369377348e-16
(1/40)base E  000000.00102121010120000211201120001000210, diff = 1.8388068845354155e-16

integers
(1)base   E   000010.00000000000000000000000000000000000, diff = 0
(2)base   E   000020.00000000000000000000000000000000000, diff = 0
(3)base   E   000100.20011200001010110201101002102120010, diff = 0
(4)base   E   000110.20011200001010110201101002102120011, diff = 0
(5)base   E   000120.20011200001010110201101002102120001, diff = 0
(6)base   E   000201.11011102102012001010200110021112121, diff = 0
(7)base   E   000211.11011102102012001010200110021112121, diff = 0
(8)base   E   001001.1201011110001002111120111211120211!3, diff = 0
(9)base   E   001011.1201011110001002111120111211121001!3, diff = 0
(10)base   E  001021.1201011110001002111120111211121001!3, diff = 0
(11)base   E  001102.1010102020121021120200020002100101!3, diff = 0
(12)base   E  001112.1010102020121021120200020002100101!3, diff = 0
(13)base   E  001200.1020021200101201011010201020001021!3, diff = 0
(14)base   E  001210.1020021200101201011010201020001021!3, diff = 0
(15)base   E  002000.1120000100120002100000110011121201!3, diff = 0
(16)base   E  002010.1120000100120002100000110011121212!3, diff = 0
(17)base   E  002020.1120000100120002100000110011200012!3, diff = 0
(18)base   E  002101.1000001010112100020212001011012112!3, diff = 0
(19)base   E  002111.1000001010112100020212001011012112!3, diff = 0
(20)base   E  002121.1000001010112100020212001011012112!3, diff = 0
(21)base   E  010002.10202121111211000110112112000111!3, diff = 0
(22)base   E  010012.10202121111211000110112112000111!3, diff = 0
(23)base   E  010100.11011200010020011201100020121111!3, diff = 0
(24)base   E  010110.11011200010020011201100020121111!3, diff = 0
(25)base   E  010120.11011200010020011201100020121111!3, diff = 0
(26)base   E  010201.0201110211102120000120102001201112!3, diff = 0
(27)base   E  010211.0201110211102120000120102001201112!3, diff = 0
(28)base   E  011001.1010111101112100201010001112110012!3, diff = 0
(29)base   E  011011.1010111101112100201010001112110012!3, diff = 0
(30)base   E  011021.1010111101112100201010001112110012!3, diff = 0
(31)base   E  011102.01101020211000200200101120120201!3, diff = 0
(32)base   E  011112.011010202110002002001011201202022!3, diff = 0
(33)base   E  011200.012002120100212020101101012110022!3, diff = 0
(34)base   E  011210.012002120100212020101101012110022!3, diff = 0
(35)base   E  012000.100001002020020002101100202002002!3, diff = 0
(36)base   E  012010.100001002020020002101100202002002!3, diff = 0
(37)base   E  012020.100001002020020002101100202002002!3, diff = 0
(38)base   E  012101.010000101102011021020001021102002!3, diff = 0
(39)base   E  012111.010000101102011021020001021102002!3, diff = 0
(40)base   E  012121.010000101102011021020001021102002!3, diff = 0
(41)base   E  020002.012100000012010001020210002020102!3, diff = 0
(42)base   E  020012.012100000012010001020210002020102!3, diff = 0
(43)base   E  020100.020112000120021001211021101021102!3, diff = 0
(44)base   E  020110.020112000120021001211021101021102!3, diff = 0
(45)base   E  020120.020112000120021001211021101021102!3, diff = 0
(46)base   E  020201.001021021002111021121210010101202!3, diff = 0
(47)base   E  020211.001021021002111021121210010101202!3, diff = 0
(48)base   E  021001.011011110202011110002000102011022!3, diff = 0
(49)base   E  021011.011011110202011110002000102011022!3, diff = 0
(50)base   E  021021.011011110202011110002000102011022!3, diff = 0
(51)base   E  021101.211201111211121210011102000000102!3, diff = 0
(52)base   E  021111.211201111211121210011102000000102!3, diff = 0
(53)base   E  021200.000010210121210201102100002010102!3, diff = 0
